Trial,EncodingCond,SceneOrFaceLeft,FaceStim,SceneStim,StudyStimulus_Duration,Fixation_Duration,Run
87,IC,,0006YMW.png,A_meadow.jpg,4000,4000,3
88,II,SceneLeft,WFemaleOA1.png,A_warehouse.jpg,4000,3000,3
89,IC,,WFemaleOA7.png,B_desert.jpg,4000,3000,3
90,II,SceneLeft,Wfemale22-5neutral.png,A_tunnel.jpg,4000,3500,3
91,IC,,0245YAM.png,D_lake.jpg,4000,2000,3
92,II,FaceLeft,WFemaleOA12.png,B_office.jpg,4000,2500,3
93,IC,,WFemaleOA3.png,B_stonehut.jpg,4000,4000,3
94,IC,,Wfemale26-6neutral.png,B_farm.jpg,4000,3000,3
95,II,SceneLeft,OtherMaleOA1.png,C_city.jpg,4000,2500,3
96,II,FaceLeft,Ifemale25-2neutral.png,A_rock.jpg,4000,3000,3
97,IC,,Wfemale44neutral.png,A_countryroad.jpg,4000,6000,3
98,IC,,OtherFemaleOA5.png,A_farm.jpg,4000,3500,3
99,IC,,Wfemale28-2neutral.png,A_barn.jpg,4000,3000,3
100,II,FaceLeft,Imale21-6neutral.png,B_lake.jpg,4000,2500,3
101,II,FaceLeft,WmaleOA16.png,C_lake.jpg,4000,3500,3
102,IC,,WMaleOA4.png,B_store.jpg,4000,4000,3
103,II,FaceLeft,OtherFemaleOA16.png,A_river.jpg,4000,2500,4
104,IC,,0011YMW.png,B_dam.jpg,4000,3500,4
105,II,FaceLeft,WFemaleOA10.png,A_sunflowers.jpg,4000,3500,4
106,II,SceneLeft,0080YMW.png,A_cargoship.jpg,4000,2500,4
107,IC,,Wfemale34-9neutral.png,B_courthouse.jpg,4000,6000,4
108,IC,,WFemaleOA9.png,B_clocktower.jpg,4000,6000,4
109,II,FaceLeft,WFemaleOA2.png,B_waterfall.jpg,4000,3000,4
110,IC,,0003YMW.png,A_valley.jpg,4000,4000,4
111,II,SceneLeft,Wfemale24neutral.png,B_rock.jpg,4000,2000,4
112,II,SceneLeft,Imale22-2neutral.png,B_walkway.jpg,4000,3500,4
113,IC,,0248YAF.png,A_chapel.jpg,4000,2000,4
114,II,SceneLeft,Ifemale25neutral.png,A_courthouse.jpg,4000,2000,4
115,IC,,OtherMaleOA5.png,B_house.jpg,4000,4000,4
116,II,FaceLeft,Bmale21-3neutral.png,A_harbor.jpg,4000,3000,4
117,II,SceneLeft,0027YFW.png,B_factory.jpg,4000,3000,4
118,IC,,OtherFemaleOA20.png,B_dock.jpg,4000,4000,4
119,II,FaceLeft,WFemaleOA11.png,C_mountainroad.jpg,4000,2000,4
120,II,SceneLeft,WmaleOA13.png,A_shore.jpg,4000,2500,4
